Code,Location,District,Registered,Envelopes,Valid,Občanská demokratická strana,Řád národa - Vlastenecká unie,CESTA ODPOVĚDNÉ SPOLEČNOSTI,Česká str.sociálně demokrat.,Radostné Česko,STAROSTOVÉ A NEZÁVISLÍ,Komunistická str.Čech a Moravy,Strana zelených,"ROZUMNÍ-stop migraci,diktát.EU",Strana svobodných občanů,Blok proti islam.-Obran.domova,Občanská demokratická aliance,Česká pirátská strana,Referendum o Evropské unii,TOP 09,ANO 2011,SPR-Republ.str.Čsl. M.Sládka,Křesť.demokr.unie-Čs.str.lid.,Česká strana národně sociální,REALISTÉ,SPORTOVCI,Dělnic.str.sociální spravedl.,Svob.a př.dem.-T.Okamura (SPD),Strana Práv Občanů
568988, Havlíčkův Brod, Obec: Ledeč nad Sázavou,814,484,482,31,0,0,50,3,30,47,2,2,7,1,0,35,1,17,181,0,37,0,4,1,0,30,1
568988, Havlíčkův Brod, Obec: Ledeč nad Sázavou,808,490,490,41,0,0,38,1,29,38,8,2,11,1,0,48,0,18,171,0,34,0,4,0,0,42,1
568988, Havlíčkův Brod, Obec: Ledeč nad Sázavou,257,169,169,11,0,0,14,0,6,14,2,3,3,0,0,22,0,13,50,0,8,0,0,0,0,20,1
568996, Havlíčkův Brod, Obec: Leškovice,48,"76,19",48,3,1,0,8,0,3,1,1,0,2,0,0,8,0,0,12,0,9,0,0,0,0,0,0
569011, Havlíčkův Brod, Obec: Leština u Světlé,335,193,193,16,0,0,12,0,11,42,4,3,2,0,0,13,0,7,62,0,6,0,3,0,0,7,0
569011, Havlíčkův Brod, Obec: Leština u Světlé,57,41,41,2,0,0,2,0,3,14,0,0,1,0,0,2,0,0,12,0,1,0,0,0,1,2,0
569011, Havlíčkův Brod, Obec: Leština u Světlé,44,38,38,4,0,0,3,0,2,6,0,0,1,0,0,1,0,1,18,1,0,0,0,0,0,1,0
569011, Havlíčkův Brod, Obec: Leština u Světlé,45,34,34,2,0,0,5,0,0,5,1,0,0,0,0,6,0,0,10,0,1,0,0,0,0,4,0
569020, Havlíčkův Brod, Obec: Libice nad Doubravou,530,"73,71",528,42,0,0,41,0,97,48,4,1,1,0,0,57,0,17,159,2,21,0,0,0,0,37,1
569038, Havlíčkův Brod, Obec: Lípa,654,426,426,49,0,1,52,0,7,32,4,3,3,0,0,45,3,16,156,2,25,0,3,1,1,19,2
569038, Havlíčkův Brod, Obec: Lípa,102,74,74,10,0,0,6,0,2,4,0,0,0,0,0,12,0,1,21,0,8,0,1,2,0,7,0
569038, Havlíčkův Brod, Obec: Lípa,132,107,107,11,0,0,4,0,4,13,1,3,0,0,1,3,0,2,32,0,18,0,0,0,0,15,0
569046, Havlíčkův Brod, Obec: Lipnice nad Sázavou,344,"63,12",344,52,0,0,23,0,12,37,4,2,2,0,0,34,1,22,105,0,7,0,4,0,1,35,3
569062, Havlíčkův Brod, Obec: Lučice,311,"62,32",311,48,0,0,35,0,18,20,4,3,0,0,3,16,0,12,88,0,29,0,1,0,0,33,1
569071, Havlíčkův Brod, Obec: Malčín,126,"73,68",126,9,0,0,11,0,6,12,0,1,2,0,1,9,0,3,56,0,9,0,2,0,0,5,0
569089, Havlíčkův Brod, Obec: Maleč,361,"64,23",358,27,0,1,56,0,15,46,3,5,3,0,0,28,0,8,112,0,18,0,2,2,1,30,1
548316, Havlíčkův Brod, Obec: Michalovice,104,"72,22",104,13,0,0,10,0,6,5,3,2,2,0,0,12,0,5,29,0,11,0,2,0,0,4,0
569127, Havlíčkův Brod, Obec: Modlíkov,101,"70,63",101,24,0,0,7,0,3,8,5,0,2,0,0,5,0,0,32,0,4,0,0,0,0,11,0
548197, Havlíčkův Brod, Obec: Nejepín,40,"71,43",40,2,0,0,3,0,1,8,0,0,0,0,0,4,0,0,11,0,5,0,0,0,0,6,0
569160, Havlíčkův Brod, Obec: Nová Ves u Chotěboře,308,"68,90",306,9,3,0,30,0,13,38,5,4,3,0,0,35,0,6,97,0,13,0,0,3,0,47,0
569151, Havlíčkův Brod, Obec: Nová Ves u Leštiny,71,"75,53",71,1,0,0,1,0,5,10,0,1,0,0,0,1,0,2,40,0,4,0,0,0,0,6,0
555266, Havlíčkův Brod, Obec: Nová Ves u Světlé,284,"66,98",284,45,1,0,14,0,13,26,2,5,3,0,1,39,0,3,79,1,21,0,0,1,1,28,1
569186, Havlíčkův Brod, Obec: Okrouhlice,581,401,401,31,2,0,33,0,63,34,1,3,6,1,0,41,1,11,119,1,16,0,1,0,0,34,0
569186, Havlíčkův Brod, Obec: Okrouhlice,166,119,119,16,0,0,7,0,7,7,3,1,1,0,0,12,0,1,38,0,13,0,0,1,1,10,0
569186, Havlíčkův Brod, Obec: Okrouhlice,87,69,69,5,0,0,7,0,5,6,2,0,1,0,0,9,0,4,14,0,9,0,2,0,0,5,0
569186, Havlíčkův Brod, Obec: Okrouhlice,127,95,95,11,0,0,7,0,10,6,2,1,0,0,0,12,0,1,41,0,1,1,0,0,0,2,0
569186, Havlíčkův Brod, Obec: Okrouhlice,115,76,76,13,0,0,5,0,8,2,1,1,4,0,0,6,0,1,12,0,8,0,6,0,0,9,0
548588, Havlíčkův Brod, Obec: Okrouhlička,131,"71,58",131,22,0,0,11,0,7,12,0,2,2,0,0,18,0,3,36,0,7,0,1,0,1,9,0
569208, Havlíčkův Brod, Obec: Olešenka,82,"56,94",81,8,0,0,6,1,1,5,0,1,0,0,1,13,0,7,15,1,17,0,0,0,0,5,0
569216, Havlíčkův Brod, Obec: Olešná,160,"60,15",160,12,1,0,12,1,13,7,2,1,3,0,0,8,0,5,61,1,20,0,2,1,0,9,1
548359, Havlíčkův Brod, Obec: Ostrov,85,"69,11",85,6,0,0,2,0,5,9,2,1,1,0,0,5,0,3,22,0,19,0,1,0,0,9,0
569224, Havlíčkův Brod, Obec: Oudoleň,215,"73,38",211,23,0,0,9,0,9,22,3,1,1,0,0,20,2,6,61,1,31,0,2,0,0,19,1
569232, Havlíčkův Brod, Obec: Ovesná Lhota,89,"64,49",89,8,0,0,11,0,0,12,0,0,1,0,0,6,0,0,30,0,1,0,0,1,0,19,0
569241, Havlíčkův Brod, Obec: Pavlov,74,"67,27",73,3,0,0,3,0,4,10,0,1,1,0,0,7,0,4,25,0,10,0,0,0,0,5,0
548634, Havlíčkův Brod, Obec: Podmoklany,84,"74,34",84,3,0,0,7,0,4,14,1,2,1,0,0,1,0,0,29,0,11,0,0,0,0,11,0
548251, Havlíčkův Brod, Obec: Podmoky,82,"80,39",82,6,0,0,5,0,5,12,1,0,0,0,0,8,0,1,33,0,2,0,0,1,0,8,0
569291, Havlíčkův Brod, Obec: Pohled,385,"62,60",384,45,1,0,32,0,15,33,8,6,4,0,1,45,0,7,129,0,23,0,7,2,0,24,2
573591, Havlíčkův Brod, Obec: Pohleď,44,"68,75",43,3,0,0,3,0,0,6,0,0,0,0,0,2,0,6,14,0,4,0,1,1,0,3,0
569313, Havlíčkův Brod, Obec: Prosíčka,65,"60,19",63,5,0,0,2,3,2,7,0,0,1,0,0,9,0,5,13,0,10,0,0,1,0,5,0
569321, Havlíčkův Brod, Obec: Přibyslav,1 335,850,850,136,1,0,93,2,20,62,15,14,17,0,2,81,0,36,198,0,108,0,3,1,1,55,2
569321, Havlíčkův Brod, Obec: Přibyslav,1 025,685,685,115,0,0,63,1,15,41,9,4,6,0,0,74,0,22,170,0,96,0,2,0,0,56,1
569321, Havlíčkův Brod, Obec: Přibyslav,814,462,462,56,0,0,41,0,28,26,7,4,3,1,2,55,1,17,102,4,70,1,1,0,1,37,4
569348, Havlíčkův Brod, Obec: Příseka,204,"61,08",204,14,1,0,19,2,9,21,3,2,5,1,0,31,0,8,64,0,12,0,2,0,2,8,0
569364, Havlíčkův Brod, Obec: Radostín,87,"72,50",87,18,0,0,6,1,9,6,1,0,0,0,0,9,0,5,19,0,1,0,0,0,0,12,0
569399, Havlíčkův Brod, Obec: Rozsochatec,310,"74,52",310,22,0,0,37,0,13,24,2,3,3,2,2,35,0,4,103,0,34,0,1,1,0,24,0
569402, Havlíčkův Brod, Obec: Rušinov,130,"84,42",129,4,0,0,16,0,0,28,1,2,0,0,0,12,0,2,51,0,2,0,0,0,0,10,1
569411, Havlíčkův Brod, Obec: Rybníček,37,"62,71",37,0,0,0,8,0,2,1,0,0,1,0,0,2,0,0,16,0,4,0,0,0,0,3,0
569429, Havlíčkův Brod, Obec: Sázavka,188,"71,48",188,15,0,0,20,0,12,16,0,1,3,0,0,19,0,4,61,0,19,0,0,0,1,16,1
548421, Havlíčkův Brod, Obec: Sedletín,176,"74,89",176,4,0,0,13,0,7,8,1,1,0,0,0,18,0,0,67,2,41,0,0,2,2,10,0
548324, Havlíčkův Brod, Obec: Skorkov,58,"86,57",58,1,0,0,3,0,3,13,0,0,0,0,0,3,0,2,7,0,7,0,1,0,10,8,0
569461, Havlíčkův Brod, Obec: Skryje,93,"60,39",93,10,0,0,10,0,3,22,0,0,0,0,0,10,0,3,20,0,3,0,0,0,0,12,0
