Code,Location,District,Registered,Envelopes,Valid,Občanská demokratická strana,Řád národa - Vlastenecká unie,CESTA ODPOVĚDNÉ SPOLEČNOSTI,Česká str.sociálně demokrat.,Radostné Česko,STAROSTOVÉ A NEZÁVISLÍ,Komunistická str.Čech a Moravy,Strana zelených,"ROZUMNÍ-stop migraci,diktát.EU",Strana svobodných občanů,Blok proti islam.-Obran.domova,Občanská demokratická aliance,Česká pirátská strana,Referendum o Evropské unii,TOP 09,ANO 2011,Dobrá volba 2016,SPR-Republ.str.Čsl. M.Sládka,Křesť.demokr.unie-Čs.str.lid.,Česká strana národně sociální,REALISTÉ,SPORTOVCI,Dělnic.str.sociální spravedl.,Svob.a př.dem.-T.Okamura (SPD),Strana Práv Občanů
553476, Šumperk, Obec: Nemile,351,"65,85",347,27,0,0,13,0,72,19,1,1,4,0,1,16,0,8,87,0,1,48,0,3,0,0,45,1
540501, Šumperk, Obec: Nový Malín,1 181,737,736,87,1,0,26,0,67,46,5,0,10,0,1,68,1,28,246,1,3,34,0,5,2,0,96,2
540501, Šumperk, Obec: Nový Malín,1 259,863,863,98,1,0,49,0,86,35,13,3,19,3,2,105,1,39,255,0,0,43,0,6,0,1,100,1
540501, Šumperk, Obec: Nový Malín,159,104,104,3,0,0,3,0,8,14,0,1,4,0,0,8,0,3,28,0,0,5,0,0,0,0,23,2
540510, Šumperk, Obec: Olšany,715,400,400,19,0,0,15,1,27,29,6,2,5,0,0,33,0,6,138,0,2,42,0,1,2,0,68,1
540510, Šumperk, Obec: Olšany,191,115,114,6,0,0,5,0,8,7,3,1,4,0,0,10,0,2,30,1,1,18,0,1,0,0,17,0
540544, Šumperk, Obec: Oskava,722,383,383,26,0,0,26,2,17,46,3,3,8,0,0,26,0,6,121,0,0,20,0,4,0,0,73,1
540544, Šumperk, Obec: Oskava,151,79,79,1,0,0,2,0,11,8,0,0,0,0,0,3,0,0,26,0,2,11,0,1,0,0,14,0
540544, Šumperk, Obec: Oskava,108,68,68,5,0,0,2,0,1,10,1,0,0,0,0,4,0,1,25,0,0,7,0,0,0,0,12,0
540544, Šumperk, Obec: Oskava,107,70,70,0,0,0,6,0,1,9,2,0,1,0,0,7,0,1,25,0,0,6,0,0,0,0,11,1
540595, Šumperk, Obec: Palonín,203,"70,98",203,8,1,1,9,2,6,31,3,3,1,0,0,9,0,3,68,0,1,13,2,3,0,0,38,1
540609, Šumperk, Obec: Pavlov,246,163,163,11,0,0,12,0,3,22,1,1,0,0,0,12,1,1,41,0,0,19,0,0,0,0,39,0
540609, Šumperk, Obec: Pavlov,115,70,70,16,0,0,2,0,5,4,0,2,0,0,0,2,0,1,19,0,0,4,0,0,0,0,14,0
540609, Šumperk, Obec: Pavlov,72,49,49,3,1,0,4,0,1,13,1,0,0,0,0,3,0,1,12,1,0,1,0,0,0,0,8,0
540609, Šumperk, Obec: Pavlov,69,43,42,2,0,0,1,0,3,5,1,1,0,0,0,3,1,1,13,0,0,0,0,0,0,0,11,0
500020, Šumperk, Obec: Petrov nad Desnou,265,145,145,12,0,0,9,1,6,16,2,1,1,0,1,10,0,3,45,0,1,11,0,0,0,0,24,0
500020, Šumperk, Obec: Petrov nad Desnou,706,405,405,37,0,0,33,0,19,19,4,6,7,0,0,25,1,15,150,0,1,18,0,0,0,1,66,1
