Code,Location,District,Registered,Envelopes,Valid,Občanská demokratická strana,Řád národa - Vlastenecká unie,CESTA ODPOVĚDNÉ SPOLEČNOSTI,Česká str.sociálně demokrat.,Radostné Česko,STAROSTOVÉ A NEZÁVISLÍ,Komunistická str.Čech a Moravy,Strana zelených,"ROZUMNÍ-stop migraci,diktát.EU",Strana svobodných občanů,Blok proti islam.-Obran.domova,Občanská demokratická aliance,Česká pirátská strana,Unie H.A.V.E.L.,Referendum o Evropské unii,TOP 09,ANO 2011,Dobrá volba 2016,SPR-Republ.str.Čsl. M.Sládka,Křesť.demokr.unie-Čs.str.lid.,Česká strana národně sociální,REALISTÉ,SPORTOVCI,Dělnic.str.sociální spravedl.,Svob.a př.dem.-T.Okamura (SPD),Strana Práv Občanů
999997,Kanada, Okrsek: 87 Toronto,366,81,81,9,0,0,2,0,4,0,5,0,0,0,0,14,0,0,22,5,0,0,9,0,3,0,0,8,0
999997,Kolumbie, Okrsek: 92 Bogota,42,21,21,3,0,0,0,0,1,0,0,0,1,0,0,5,0,0,4,5,0,0,2,0,0,0,0,0,0
999997,Kuba, Okrsek: 89 Havana,110,47,47,10,0,0,0,0,3,2,2,0,0,0,0,12,0,0,13,4,0,0,0,0,0,0,0,0,1
999997,Mexiko, Okrsek: 90 Mexiko,68,45,45,5,1,0,4,0,1,0,6,0,2,0,0,6,0,0,7,5,0,0,6,0,0,0,0,2,0
999997,Peru, Okrsek: 91 Lima,59,36,36,3,0,0,1,0,1,0,2,0,1,0,0,9,0,0,7,2,0,0,4,0,1,0,0,5,0
999997,Spojené státy, Okrsek: 96 Chicago,248,124,124,11,0,0,7,0,5,1,6,0,3,0,0,14,0,0,39,4,0,0,12,0,0,0,0,22,0
999997,Spojené státy, Okrsek: 93 Los Angeles,172,95,95,10,0,0,3,0,3,0,4,0,0,0,0,24,0,0,22,19,0,1,1,0,1,0,0,6,0
999997,Spojené státy, Okrsek: 94 New York,615,367,367,58,0,0,9,0,25,0,15,1,7,0,0,65,0,0,125,32,0,0,14,0,4,1,0,9,1
999997,Spojené státy, Okrsek: 95 Washington,242,135,135,24,0,0,11,0,12,0,4,1,2,0,1,12,0,0,40,18,0,0,8,0,0,0,0,2,0
999997,Alžírsko, Okrsek: 97 Alžír,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
999997,Egypt, Okrsek: 105 Káhira,63,46,46,7,0,0,8,0,2,3,2,1,1,0,0,3,0,0,4,9,0,0,4,0,1,0,0,1,0
999997,Etiopie, Okrsek: 99 Addis Abeba,18,12,12,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,8,1,0,0,0,0,0,0,0,0,0
999997,Ghana, Okrsek: 100 Akkra,9,9,9,0,0,0,1,0,1,1,0,0,0,0,0,3,0,0,1,0,0,0,1,0,1,0,0,0,0
999997,Jihoafrická republika, Okrsek: 103 Pretoria,71,28,28,2,0,0,1,0,2,0,0,0,0,0,0,5,0,0,9,4,0,0,4,0,0,0,0,1,0
999997,Keňa, Okrsek: 106 Nairobi,14,13,13,2,0,0,0,0,3,0,0,0,2,0,0,1,0,0,1,2,0,0,1,1,0,0,0,0,0
999997,Maroko, Okrsek: 101 Rabat,19,17,17,0,0,0,3,0,0,0,1,0,0,0,0,1,0,0,8,0,0,0,4,0,0,0,0,0,0
999997,Nigérie, Okrsek: 102 Abuja,10,6,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,1,0
999997,Senegal, Okrsek: 98 Dakar,9,9,9,1,0,0,1,0,0,0,1,0,0,0,0,2,0,0,2,0,0,0,2,0,0,0,0,0,0
999997,Tunisko, Okrsek: 104 Tunis,14,14,14,3,0,0,1,0,3,1,0,0,0,0,0,2,0,0,3,1,0,0,0,0,0,0,0,0,0
999997,Zambie, Okrsek: 107 Lusaka,26,14,14,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,8,1,0,0,3,0,0,0,0,0,0
999997,Austrálie, Okrsek: 108 Canberra,50,35,35,6,0,0,2,0,6,0,3,0,1,0,0,2,0,0,2,4,0,0,5,0,0,0,0,3,0
999997,Austrálie, Okrsek: 109 Sydney,375,146,146,22,0,0,3,0,15,0,10,0,5,0,0,37,0,0,26,8,0,1,5,0,1,0,0,13,0
